title,authors,venue,year
FAS - A Freshness-Sensitive Coordination Middleware for a Cluster of OLAP Components,"Uwe Röhm, Klemens Böhm, Hans-Jörg Schek, Heiko Schuldt",VLDB,2002
Report on the EDBT'02 Panel on Scientific Data Integration,"Carole A. Goble, Omar Boucelma, Silvana Castano, Vanja Josifovski, Zoé Lacroix, Bertram Ludäscher",SIGMOD Record,2002
Sideway Value Algebra for Object-Relational Databases,"Z. Meral Özsoyoglu, Gultekin Özsoyoglu, Abdullah Al-Hamdani, Özgür Ulusoy, Selma Ayse Özel, Ismail Sengör Altingövde",VLDB,2002
SIGMOD Digital Symposium Collection (DiSC) Editor's Message,Isabel F. Cruz,SIGMOD Record,2000
Using Sets of Feature Vectors for Similarity Search on Voxelized CAD Objects,"Martin Pfeifle, Hans-Peter Kriegel, Stefan Brecheisen, Peer Kröger, Matthias Schubert",SIGMOD Conference,2003
The GMAP: A Versatile Tool for Physical Data Independence,"Yannis E. Ioannidis, Marvin H. Solomon, Odysseas G. Tsatalos",VLDB J.,1996
Plan Selection Based on Query Clustering,"Antara Ghosh, Vibhuti S. Sengar, Jayant R. Haritsa, Jignashu Parikh",VLDB,2002
Wrapping Web Data into XML,"David Buttler, Wei Han, Calton Pu",SIGMOD Record,2001
Global transaction support for workflow management systems: from formal specification to practical implementation,"Paul W. P. J. Grefen, Peter M. G. Apers, Jochem Vonk",VLDB J.,2001
Starting (and Sometimes Ending) a Database Company,Jack A. Orenstein,VLDB,1998
OPTICS: Ordering Points To Identify the Clustering Structure,"Jörg Sander, Hans-Peter Kriegel, Markus M. Breunig, Mihael Ankerst",SIGMOD Conference,1999
Specification and Implementation of Exceptions in Workflow Management Systems,"Stefano Paraboschi, Stefano Ceri, Fabio Casati, Giuseppe Pozzi",ACM Trans. Database Syst.,1999
New Standard for Stored Procedures in SQL,Andrew Eisenberg,SIGMOD Record,1996
Optimization of Run-time Management of Data Intensive Web-sites,"Khaled Yagoub, Dan Suciu, Alon Y. Levy, Daniela Florescu",VLDB,1999
Dynamic XML documents with distribution and replication,"Ioana Manolescu, Serge Abiteboul, Tova Milo, Angela Bonifati, Gregory Cobena",SIGMOD Conference,2003
Database Buffer Size Investigation for OLTP Workloads (Experience Paper),"Thin-Fong Tsuei, Allan Packer, Keng-Tai Ko",SIGMOD Conference,1997
Reminiscences on Influential Papers,"Patrick Valduriez, Serge Abiteboul, Sophie Cluet, Kenneth A. Ross, Raghu Ramakrishnan, Guy M. Lohman, David B. Lomet, Richard T. Snodgrass, Gultekin Özsoyoglu, Michael J. Franklin, Timos K. Sellis",SIGMOD Record,1999
Random Sampling Techniques for Space Efficient Online Computation of Order Statistics of Large Datasets,"Sridhar Rajagopalan, Bruce G. Lindsay, Gurmeet Singh Manku",SIGMOD Conference,1999
New partnership with ACM and update on the journal,M. Tamer Özsu,VLDB J.,2003
Integrating Replacement Policies in StorM: An Extensible Approach,"Stéphane Bressan, Kian-Lee Tan, Beng Chin Ooi, Chong Leng Goh",SIGMOD Conference,2000
High Availability of Commercial Applications,Kestutis Ivinskis,SIGMOD Conference,1995
Modeling Design Versions,"D. Janaki Ram, R. Ramakrishnan",VLDB,1996
"High-Dimensional Index Structures, Database Support for Next Decade's Applications (Tutorial)","Daniel A. Keim, Stefan Berchtold",SIGMOD Conference,1998
LockX: A System for Efficiently Querying Secure XML,"SungRan Cho, Laks V. S. Lakshmanan, Divesh Srivastava, Sihem Amer-Yahia",SIGMOD Conference,2003
David DeWitt Speaks Out,Marianne Winslett,SIGMOD Record,2002
Oracle Rdb's Record Caching Model,"Richard Frank, Gopalan Arun, Richard Anderson",SIGMOD Conference,1998
A Super Scalar Sort Algorithm for RISC Processors,Ramesh C. Agarwal,SIGMOD Conference,1996
Fast Algorithms for Universal Quantification in Large Databases,"Goetz Graefe, Richard L. Cole",ACM Trans. Database Syst.,1995
Chair's Message,Richard T. Snodgrass,SIGMOD Record,1999
Are Web Services the Next Revolution in e-Commerce? (Panel),"Umeshwar Dayal, Gerhard Weikum, Rakesh Agrawal, Johannes Klein, Shalom Tsur, Serge Abiteboul",VLDB,2001
Decision Tables: Scalable Classification Exploring RDBMS Capabilities,"Hongyan Liu, Hongjun Lu",VLDB,2000
Reusing Invariants: A New Strategy for Correlated Queries,"Jun Rao, Kenneth A. Ross",SIGMOD Conference,1998
Telcordia's Database Reconciliation and Data Quality Analysis Tool,"Munir Cochinwala, Francesco Caruso, Paolo Missier, Uma Ganapathy, Gail Lalk",VLDB,2000
Groupwise Processing of Relational Queries,"Kenneth A. Ross, Damianos Chatziantoniou",VLDB,1997
Anatomy of a native XML base management system,"Thorsten Fiebig, Till Westmann, Robert Schiele, Guido Moerkotte, Carl-Christian Kanne, Julia Neumann, Sven Helmer",VLDB J.,2002
AQR-Toolkit: An Adaptive Query Routing Middleware for Distributed Data Intensive Systems,"Henrique Paques, Wei Tang, Calton Pu, Wei Han, Ling Liu, David Buttler",SIGMOD Conference,2000
ObjectGlobe: Ubiquitous query processing on the Internet,"Stefan Seltzsam, Donald Kossmann, Markus Keidl, Reinhard Braumandl, Alexander Kreutz, Konrad Stocker, Alfons Kemper",VLDB J.,2001
Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies,"Gerard Rodríguez-Mulà, Andreas Paepcke, Junghoo Cho, Hector Garcia-Molina",SIGMOD Record,2000
The MENTOR Workbench for Enterprise-wide Workflow Management,"Jeanine Weißenfels, Dirk Wodtke, Angelika Kotz Dittrich, Gerhard Weikum, Peter Muth",SIGMOD Conference,1997
The Effectiveness of GlOSS for the Text Database Discovery Problem,"Luis Gravano, Anthony Tomasic, Hector Garcia-Molina",SIGMOD Conference,1994
Technology and the Future of Commerce and Finance (Abstract),David Elliot Shaw,VLDB,1998
Using Probabilistic Information in Data Integration,"Alon Y. Levy, Daniela Florescu, Daphne Koller",VLDB,1997
Compressing SQL workloads,"Surajit Chaudhuri, Ashish Kumar Gupta, Vivek R. Narasayya",SIGMOD Conference,2002
Coarse-Grained Optimization: Techniques for Rewriting SQL Statement Sequences,"Bernhard Mitschang, Tobias Kraft, Holger Schwarz, Ralf Rantzau",VLDB,2003
Integrated Document Caching and Prefetching in Storage Hierarchies Based on Markov-Chain Predictions,"Achim Kraiss, Gerhard Weikum",VLDB J.,1998
Report on the NSF Workshop on Building an Infrastructure for Mobile and Wireless Systems,"Ouri Wolfson, S. A. M. Makki, Kia Makki, Charles E. Perkins, Birgitta König-Ries, Peter L. Reiher, Niki Pissinou, Peter Scheuermann, Jari Veijalainen",SIGMOD Record,2002
Are We Working On the Right Problems? (Panel),Michael Stonebraker,SIGMOD Conference,1998
"Ordering Information, Conference Organizers, Program Committees, Additional Reviewers, Additional Demonstrations Reviewers, Sponsors, VLDB Endowment, Preface, Foreword",?,VLDB,2000
Understanding the global semantics of referential actions using logic rules,"Wolfgang May, Bertram Ludäscher",ACM Trans. Database Syst.,2002
Editor's Notes,Ling Liu,SIGMOD Record,2002
The LHAM Log-Structured History Data Access Method,"Gerhard Weikum, Patrick E. O'Neil, Peter Muth, Achim Pick",VLDB J.,2000
TIGUKAT: A Uniform Behavioral Objectbase Management System,"Randal J. Peters, M. Tamer Özsu, Boman Irani, Adriana Muñoz, Anna Lipka, Duane Szafron",VLDB J.,1995
The Onion Technique: Indexing for Linear Optimization Queries,"Chung-Sheng Li, Vittorio Castelli, Lawrence D. Bergman, John R. Smith, Yuan-Chi Chang, Ming-Ling Lo",SIGMOD Conference,2000
WALRUS: A Similarity Retrieval Algorithm for Image Databases,"Rajeev Rastogi, Kyuseok Shim, Apostol Natsev",SIGMOD Conference,1999
Improving the Efficiency of Database-System Teaching,Jeffrey D. Ullman,SIGMOD Conference,2003
Towards Knowledge-Based Digital Libraries,"Manfred A. Jeusfeld, Ling Feng, Jeroen Hoppenbrouwers",SIGMOD Record,2001
Outerjoins as Disjunctions,César A. Galindo-Legaria,SIGMOD Conference,1994
Information Retrieval from an Incomplete Data Cube,Curtis E. Dyreson,VLDB,1996
SQL Memory Management in Oracle9i,"Mohamed Zaït, Benoît Dageville",VLDB,2002
Buffering and Read-Ahead Strategies for External Mergesort,"Per-Åke Larson, Weiye Zhang",VLDB,1998
Random Sampling for Histogram Construction: How much is enough?,"Vivek R. Narasayya, Rajeev Motwani, Surajit Chaudhuri",SIGMOD Conference,1998
Qualitative Representation of Spatial Knowledge in Two-Dimensional Space,"Dimitris Papadias, Timos K. Sellis",VLDB J.,1994
BIRN-M: A Semantic Mediator for Solving Real-World Neuroscience Problems,"Bertram Ludäscher, Maryann E. Martone, Amarnath Gupta",SIGMOD Conference,2003
A Comparative Study of Alternative Middle Tier Caching Solutions to Support Dynamic Web Content Acceleration,"Anindya Datta, Kaushik Dutta, Helen M. Thomas, Debra E. VanderMeer, Krithi Ramamritham, Dan Fishman",VLDB,2001
A New SQL-like Operator for Mining Association Rules,"Giuseppe Psaila, Stefano Ceri, Rosa Meo",VLDB,1996
Tutorial: application servers and associated technologies,C. Mohan,SIGMOD Conference,2002
Provisions and Obligations in Policy Management and Security Applications,"Xiaoyang Sean Wang, Duminda Wijesekera, Claudio Bettini, Sushil Jajodia",VLDB,2002
Java Support for Data-Intensive Systems: Experiences Building the Telegraph Dataflow System,"Michael J. Franklin, Samuel Madden, Joseph M. Hellerstein, Mehul A. Shah",SIGMOD Record,2001
Optimizing Queries with Universal Quantification in Object-Oriented and Object-Relational Databases,"Guido Moerkotte, Jens Claußen, Klaus Peithner, Alfons Kemper",VLDB,1997
An Efficient Bitmap Encoding Scheme for Selection Queries,"Chee Yong Chan, Yannis E. Ioannidis",SIGMOD Conference,1999
The Third Manifesto,"C. J. Date, Hugh Darwen",SIGMOD Record,1995
Data Placement in Shared-Nothing Parallel Database Systems,"Manish Mehta, David J. DeWitt",VLDB J.,1997
The BeSS Object Storage Manager: Architecture Overview,"Alexandros Biliris, Euthimios Panagos",SIGMOD Record,1996
The Cougar Project: a work-in-progress report,"Agathoniki Trigoni, Rajmohan Rajaraman, Alan J. Demers, Yong Yao, Johannes Gehrke",SIGMOD Record,2003
Model-Based Information Integration in a Neuroscience Mediator System,"Bertram Ludäscher, Amarnath Gupta, Maryann E. Martone",VLDB,2000
Space-Efficient Online Computation of Quantile Summaries,"Sanjeev Khanna, Michael Greenwald",SIGMOD Conference,2001
Chip-Secured Data Access: Reconciling Access Rights with Data Encryption,"Philippe Pucheral, Lilan Wu, Luc Bouganim, François Dang Ngoc",VLDB,2003
The PointCast Network,"Vibha Dayal, Satish Ramakrishnan",SIGMOD Conference,1998
Integration Approaches for CIM,Moira C. Norrie,SIGMOD Conference,1995
Toward network data independence,Joseph M. Hellerstein,SIGMOD Record,2003
CQ: A Personalized Update Monitoring Toolkit,"David Buttler, Tong Zhou, Ling Liu, Paul Benninghoff, Wei Han, Calton Pu, Fenghua Yu, Wei Tang, John Biggs",SIGMOD Conference,1998
The Lowell Report,"Hans-Jörg Schek, Michael Stonebraker, Jim Gray, Jeffrey D. Ullman",SIGMOD Conference,2003
Distributing queries over low-power wireless sensor networks,"Samuel Madden, Joseph M. Hellerstein",SIGMOD Conference,2002
Closest Pair Queries in Spatial Databases,"Yannis Theodoridis, Yannis Manolopoulos, Antonio Corral, Michael Vassilakopoulos",SIGMOD Conference,2000
Control Strategies for Complex Relational Query Processing in Shared Nothing Systems,"Lionel Brunie, Harald Kosch",SIGMOD Record,1996
Database Selection Using Actual Physical and Acquired Logical Collection Resources in a Massive Domain-specific Operational Environment,"Xi S. Guo, Jack G. Conrad, Peter Jackson, Monem Meziou",VLDB,2002
Generic Schema Matching with Cupid,"Philip A. Bernstein, Erhard Rahm, Jayant Madhavan",VLDB,2001
A Query Language and Optimization Techniques for Unstructured Data,"Gerd G. Hillebrand, Peter Buneman, Susan B. Davidson, Dan Suciu",SIGMOD Conference,1996
BeSS: Storage Support for Interactive Visualization Systems,"William O'Connell, Thomas A. Funkhouser, Alexandros Biliris, Euthimios Panagos",SIGMOD Conference,1996
Optimizing object queries using an effective calculus,"Leonidas Fegaras, David Maier",ACM Trans. Database Syst.,2000
An Early Look at XQuery,"Andrew Eisenberg, Jim Melton",SIGMOD Record,2002
The Complexity of Transformation-Based Join Enumeration,"César A. Galindo-Legaria, Martin L. Kersten, Arjan Pellenkoft",VLDB,1997
GeMBASE: A Geometric Mediator for Brain Analysis with Surface Ensembles,"Amarnath Gupta, Simone Santini",VLDB,2002
A Data Transformation System for Biological Data Sources,"Susan B. Davidson, Limsoon Wong, Kyle Hart, Peter Buneman, G. Christian Overton",VLDB,1995
Similarity Search in High Dimensions via Hashing,"Rajeev Motwani, Aristides Gionis, Piotr Indyk",VLDB,1999
Object Normal Forms and Dependency Constraints for Object-Oriented Schemata,"Zahir Tari, Stefano Spaccapietra, John Stokes",ACM Trans. Database Syst.,1997
CachePortal II: Acceleration of Very Large Scale Data Center-Hosted Database-driven Web Applications,"Wang-Pin Hsiung, Kunihiro Taniguchi, Yusuf Akca, Oliver Po, Wen-Syan Li, Divyakant Agrawal, K. Selçuk Candan",VLDB,2003
Structural Function Inlining Technique for Structurally Recursive XML Queries,"Jun-Ki Min, Chin-Wan Chung, Chang-Won Park",VLDB,2002
Offering a Precision-Performance Tradeoff for Aggregation Queries over Replicated Data,"Jennifer Widom, Chris Olston",VLDB,2000
Tavant System Architecture for Sell-side Channel Management,"Subbu N. Subramanian, Srinivasa Narayanan",VLDB,2001
Clustering Validity Checking Methods: Part II,"Michalis Vazirgiannis, Maria Halkidi, Yannis Batistakis",SIGMOD Record,2002
Reminiscences on Influential Papers,"Theodore Johnson, Amr El Abbadi, Richard T. Snodgrass, Kenneth A. Ross",SIGMOD Record,2002
Efficient evaluation of queries in a mediator for WebSources,"Tolga Urhan, Laura Bright, Vladimir Zadorozhny, Maria-Esther Vidal, Louiqa Raschid",SIGMOD Conference,2002
D(k)-Index: An Adaptive Structural Summary for Graph-Structured Data,"Chen Qun, Andrew Lim, Kian Win Ong",SIGMOD Conference,2003
Are quorums an alternative for data replication?,"Bettina Kemme, Ricardo Jiménez-Peris, Marta Patiño-Martínez, Gustavo Alonso",ACM Trans. Database Syst.,2003
"Probabilistic temporal databases, I: algebra","Alex Dekhtyar, Robert Ross, V. S. Subrahmanian",ACM Trans. Database Syst.,2001
Implementing the Spirit of SQL-99,Paul Brown,SIGMOD Conference,1999
Content Integration for E-Business,"Joseph M. Hellerstein, Michael Stonebraker",SIGMOD Conference,2001
Designing and Mining Multi-Terabyte Astronomy Archives: The Sloan Digital Sky Survey,"Alexander S. Szalay, Donald R. Slutz, Ani Thakar, Jim Gray, Peter Z. Kunszt",SIGMOD Conference,2000
Mining Needle in a Haystack: Classifying Rare Classes via Two-phase Rule Induction,"Ramesh C. Agarwal, Mahesh V. Joshi",SIGMOD Conference,2001
SQLEM: Fast Clustering in SQL using the EM Algorithm,"Paul Cereghini, Carlos Ordonez",SIGMOD Conference,2000
S-ToPSS: Semantic Toronto Publish/Subscribe System,"Ioana Burcea, Milenko Petrovic, Hans-Arno Jacobsen",VLDB,2003
Managing Business Processes via Workflow Technology,Frank Leymann,VLDB,2001
CONTROL: Continuous Output and Navigation Technology with Refinement On-Line,"Bruce Lo, Tali Roth, Ron Avnur, Joseph M. Hellerstein, Chris Olston, Kirk Wylie, Bhaskaran Raman, Vijayshankar Raman",SIGMOD Conference,1998
A Metadatabase System for Semantic Image Search by a Mathematical Model of Meaning,"Yasushi Kiyoki, Takanari Hayama, Takashi Kitagawa",SIGMOD Record,1994
DLFM: A Transactional Resource Manager,"Hui-I Hsiao, Inderpal Narang",SIGMOD Conference,2000
Hypertext Databases and Data Mining,Soumen Chakrabarti,SIGMOD Conference,1999
Dynamic Service Matchmaking Among Agents in Open Information Environments,"Matthias Klusch, Katia P. Sycara, Seth Widoff, Jianguo Lu",SIGMOD Record,1999
Open Issues in Parallel Query Optimization,"Waqar Hasan, Patrick Valduriez, Daniela Florescu",SIGMOD Record,1996
Database Issues in Telecommunications Network Management,Ilsoo Ahn,SIGMOD Conference,1994
MapInfo SpatialWare: A Spatial Information Server for RDBMS,Chebel Mina,VLDB,1998
Efficient and Cost-effective Techniques for Browsing and Indexing Large Video Databases,"Kien A. Hua, Jung-Hwan Oh",SIGMOD Conference,2000
The Generalized Pre-Grouping Transformation: Aggregate-Query Optimization in the Presence of Dependencies,"Timos K. Sellis, Aris Tsois",VLDB,2003
MineSet(tm): A System for High-End Data Mining and Visualization,?,VLDB,1996
KRDB '98: The 5th International Workshop on Knowledge Representation Meets Databases,"Alexander Borgida, Martin Staudt, Vinay K. Chaudhri",SIGMOD Record,1998
The Drill Down Benchmark,"Peter A. Boncz, Tim Rühl, Fred Kwakkel",VLDB,1998
"Fast, Randomized Join-Order Selection - Why Use Transformations?","Arjan Pellenkoft, César A. Galindo-Legaria, Martin L. Kersten",VLDB,1994
Expressing Business Rules,Ronald G. Ross,SIGMOD Conference,2000
Fast Joins Using Join Indices,"Kenneth A. Ross, Zhe Li",VLDB J.,1999
Discovering all most specific sentences,"Sanjeev Saluja, Hannu Toivonen, Roni Khardon, Heikki Mannila, Ram Sewak Sharm, Dimitrios Gunopulos",ACM Trans. Database Syst.,2003
Adaptive Multi-Stage Distance Join Processing,"Sukho Lee, Bongki Moon, Hyoseop Shin",SIGMOD Conference,2000
FALCON: Feedback Adaptive Loop for Content-Based Retrieval,"Christos Faloutsos, Leejay Wu, Katia P. Sycara, Terry R. Payne",VLDB,2000
The Fittest Survives: An Adaptive Approach to Query Optimization,"Kian-Lee Tan, Son Dao, Hongjun Lu",VLDB,1995
Building Database-driven Electronic Catalogs,Sherif Danish,SIGMOD Record,1998
Content-Based Image Indexing,Tzi-cker Chiueh,VLDB,1994
Towards Self-Tuning Data Placement in Parallel Database Systems,"Mong-Li Lee, Beng Chin Ooi, Anirban Mondal, Kian-Lee Tan, Masaru Kitsuregawa",SIGMOD Conference,2000
Efficient Optimistic Concurrency Control Using Loosely Synchronized Clocks,"Barbara Liskov, Atul Adya, Robert Gruber, Umesh Maheshwari",SIGMOD Conference,1995
Rondo: A Programming Platform for Generic Model Management,"Philip A. Bernstein, Erhard Rahm, Sergey Melnik",SIGMOD Conference,2003
Optimization Techniques for Queries with Expensive Methods,Joseph M. Hellerstein,ACM Trans. Database Syst.,1998
Eliminating Costly Redundant Computations from SQL Trigger Executions,"François Llirbat, Françoise Fabret, Eric Simon",SIGMOD Conference,1997
The Need for Distributed Asynchronous Transactions,"Lyman Do, Prabhu Ram, Pamela Drew",SIGMOD Conference,1999
Cache Portal: Technology for Accelerating Database-driven e-commerce Web Sites,"Yusuf Akca, Cemal Yilmaz, K. Selçuk Candan, Wen-Syan Li, Wei-Kuang Waine Huang, Qiong Luo, Divyakant Agrawal, Wang-Pin Hsiung, Oliver Po",VLDB,2001
MV3R-Tree: A Spatio-Temporal Access Method for Timestamp and Interval Queries,"Dimitris Papadias, Yufei Tao",VLDB,2001
"O-O, What's Happening to DB2?","Richard Swagerman, Nelson Mendonça Mattos, Michael J. Carey, Srinivasa Narayanan, Bennet Vance, Doug Doole, Serge Rielau, Donald D. Chamberlin",SIGMOD Conference,1999
Comparing Hybrid Peer-to-Peer Systems,"Beverly Yang, Hector Garcia-Molina",VLDB,2001
DataSplash,"Vuk Ercegovac, Allison Woodruff, Michael Stonebraker, Mark Lin, Mybrid Spalding, Alexander Aiken, Chris Olston, Michael Chu",SIGMOD Conference,1998
A case for dynamic view management,"Nick Roussopoulos, Yannis Kotidis",ACM Trans. Database Syst.,2001
Chameleon: an Extensible and Customizable Tool for Web Data Translation,"Riccardo Torlone, Paolo Atzeni",VLDB,2003
A Workflow-based Electronic Marketplace on the Web,"Ibrahim Cingil, Nazife Dimililer, Nesime Tatbul, Ilker Durusoy, Asuman Dogac, Pinar Koksal, Sena Nural Arpinar",SIGMOD Record,1998
Learning to match ontologies on the Semantic Web,"Jayant Madhavan, Robin Dhamankar, Alon Y. Halevy, Pedro Domingos, AnHai Doan",VLDB J.,2003
ANSI SQL Hierarchical Processing Can Fully Integrate Native XML,Michael M. David,SIGMOD Record,2003
The ADABAS Buffer Pool Manager,Harald Schöning,VLDB,1998
Gigascope: high performance network monitoring with an SQL interface,"Yuan Gao, Theodore Johnson, Charles D. Cranor, Vladislav Shkapenyuk, Oliver Spatscheck",SIGMOD Conference,2002
The Merge/Purge Problem for Large Databases,"Salvatore J. Stolfo, Mauricio A. Hernández",SIGMOD Conference,1995
Query Processing in Spatial Network Databases,"Nikos Mamoulis, Jun Zhang, Dimitris Papadias, Yufei Tao",VLDB,2003
A Nanotechnology-based Approach to Data Storage,"B. Gotsmann, A. Dholakia, G. Cherubini, Walter Häberle, H. Pozidis, Michel Despont, Richard Stutz, P. Bächtold, C. Hagleitner, T. R. Albrecht, Hugo E. Rothuizen, Gerd K. Binnig, D. Jubin, A. Pantazi, M. A. Lantz, E. Eleftheriou, Urs Dürig, T. Loeliger, Peter Vettiger, D. Wiesmann, Ute Drechsler",VLDB,2003
Fast High-Dimensional Data Search in Incomplete Databases,"Kian-Lee Tan, Cheng Hian Goh, Beng Chin Ooi",VLDB,1998
A template model for multidimensional inter-transactional association rules,"Jeffrey Xu Yu, Hongjun Lu, Ling Feng, Jiawei Han",VLDB J.,2002
BOAT-Optimistic Decision Tree Construction,"Wei-Yin Loh, Raghu Ramakrishnan, Venkatesh Ganti, Johannes Gehrke",SIGMOD Conference,1999
Continuously adaptive continuous queries over streams,"Samuel Madden, Mehul A. Shah, Vijayshankar Raman, Joseph M. Hellerstein",SIGMOD Conference,2002
Diluting ACID,"Peter Thanisch, Colin Stirling, Tim Kempster",SIGMOD Record,1999
Applying database Visualization to the World Wide Web,"Alberto O. Mendelzon, Dimitra Vista, Masum Z. Hasan",SIGMOD Record,1996
DTD-Directed Publishing with Attribute Translation Grammars,"Michael Benedikt, Aoying Zhou, Rajeev Rastogi, Shihui Zheng, Chee Yong Chan, Wenfei Fan",VLDB,2002
Primitives for Workload Summarization and Implications for SQL,"Surajit Chaudhuri, Prasanna Ganesan, Vivek R. Narasayya",VLDB,2003
Safely and Efficiently Updating References During On-line Reorganization,"Betty Salzberg, Chendong Zou",VLDB,1998
An Efficient Method for Checking Object-Oriented Database Schema Correctness,"Michele Missikoff, Anna Formica, Hans Dietmar Gröger",ACM Trans. Database Syst.,1998
Reordering Query Execution in Tertiary Memory Databases,"Michael Stonebraker, Sunita Sarawagi",VLDB,1996
How System 11 SQL Server Became Fast,T. K. Rengarajan,VLDB,1996
Moving up the food chain: Supporting E-Commerce Applications on Databases,Anant Jhingran,SIGMOD Record,2000
APEX: an adaptive path index for XML data,"Chin-Wan Chung, Kyuseok Shim, Jun-Ki Min",SIGMOD Conference,2002
Index Configuration in Object-Oriented Databases,Elisa Bertino,VLDB J.,1994
Continuous Nearest Neighbor Search,"Dimitris Papadias, Yufei Tao, Qiongmao Shen",VLDB,2002
Chair's Message,M. Tamer Özsu,SIGMOD Record,2002
Towards a Richer Web Object Model,Frank Manola,SIGMOD Record,1998
Homer: a Model-Based CASE Tool for Data-Intensive Web Sites,"Paolo Atzeni, Paolo Merialdo, Marco Pecorone, Marco Magnante, Giansalvatore Mecca",SIGMOD Conference,2000
Performance of Data-Parallel Spatial Operations,"Hanan Samet, Erik G. Hoel",VLDB,1994
Managing Large Systems with DB2 UDB,Chris Eaton,SIGMOD Conference,1998
DBCache: Middle-tier Database Caching for Highly Scalable e-Business Architectures,"C. Mohan, Sailesh Krishnamurthy, Mehmet Altinel, Christof Bornhövd, Hamid Pirahesh, Berthold Reinwald",SIGMOD Conference,2003
"Information Translation, Mediation, and Mosaic-Based Browsing in the TSIMMIS System","Yannis Papakonstantinou, Joachim Hammer, Jennifer Widom, Jeffrey D. Ullman, Hector Garcia-Molina, Kelly Ireland",SIGMOD Conference,1995
Reminiscences on Influential Papers,"Jun Rao, Kenneth A. Ross, Johannes Gehrke",SIGMOD Record,2003
"Review of The data warehouse toolkit: the complete guide to dimensional modeling (2nd edition) by Ralph Kimball, Margy Ross. John Wiley & Sons, Inc. 2002",Alexander A. Anisimov,SIGMOD Record,2003
Adaptive Precision Setting for Cached Approximate Values,"Boon Thau Loo, Jennifer Widom, Chris Olston",SIGMOD Conference,2001
Extracting Schema from Semistructured Data,"Serge Abiteboul, Rajeev Motwani, Svetlozar Nestorov",SIGMOD Conference,1998
Maximizing the Output Rate of Multi-Way Join Queries over Streaming Information Sources,"Josef Burger, Jeffrey F. Naughton, Stratis Viglas",VLDB,2003
Fibonacci: A Programming Language for Object Databases,"Antonio Albano, Renzo Orsini, Giorgio Ghelli",VLDB J.,1995
A Theory of Redo Recovery,"Mark R. Tuttle, David B. Lomet",SIGMOD Conference,2003
An Empirical Performance Study of the Ingres Search Accelerator for a Large Property Management Database System,"John G. Hughes, David A. Bell, Sarabjot S. Anand",VLDB,1994
Distance-Based Indexing for High-Dimensional Metric Spaces,"Z. Meral Özsoyoglu, Tolga Bozkaya",SIGMOD Conference,1997
Provision of Market Services for eCo Compliant Electronic Market Places,"Sena Nural Arpinar, Asuman Dogac",SIGMOD Record,2000
Report on the 2001 SIGMOD and PODS Awards,Philip A. Bernstein,SIGMOD Record,2001
Disseminating Updates on Broadcast Disks,"Swarup Acharya, Stanley B. Zdonik, Michael J. Franklin",VLDB,1996
"Watermarking relational data: framework, algorithms and analysis","Peter J. Haas, Rakesh Agrawal, Jerry Kiernan",VLDB J.,2003
"Title, Foreword, Preface to the Special Issue on Spatial Database Systems, Index Vol. 3",?,VLDB J.,1994
Research in database engineering at the University of Namur,Jean-Luc Hainaut,SIGMOD Record,2003
Maintaining Database Consistency in Presence of Value Dependencies in Multidatabase Systems,"Michèle Cart, Claire Morpain, Jean-François Pons, Jean Ferrié",SIGMOD Conference,1996
Integrating and customizing heterogeneous e-commerce applications,"Anat Eyal, Tova Milo",VLDB J.,2001
A Semantic Modeling Approach for Image Retrieval by Content,"Ricky K. Taira, Ion Tim Ieong, Wesley W. Chu",VLDB J.,1994
Guest editorial,"Yannis E. Ioannidis, Raghu Ramakrishnan, Philip A. Bernstein",VLDB J.,2003
Electronic Market: The Roadmap for University Libraries and Members to Survive in the Information Jungle,"Peter C. Lockemann, Bethina Schmitt, Michael Christoffel, Sebastian Pulkowski",SIGMOD Record,1998
Altruistic Locking,"Jeannie Shands, Kenneth Salem, Hector Garcia-Molina",ACM Trans. Database Syst.,1994
Query Processing in Tertiary Memory Databases,Sunita Sarawagi,VLDB,1995
Component-based E-Commerce: Assesment of Current Practices and Future Directions,"Martin Bichler, Arie Segev, J. Leon Zhao",SIGMOD Record,1998
"Pattern Matching and Pattern Discovery in Scientific, Program, and Document Databases","Kaizhong Zhang, Dennis Shasha, Jason Tsong-Li Wang",SIGMOD Conference,1995
Building Scalable Internet Applications with Oracle8i Server,"Olga Peschansky, José Alberto Fernández, Julie Basu",VLDB,2000
The Montage Extensible DataBlade Achitecture,Michael Ubell,SIGMOD Conference,1994
Quorum Consensus in Nested Transaction Systems,"Kenneth J. Goldman, Nancy A. Lynch",ACM Trans. Database Syst.,1994
Model and Verification of a Data Manager Based on ARIES,Dean Kuo,ACM Trans. Database Syst.,1996
Spatial queries in dynamic environments,"Yufei Tao, Dimitris Papadias",ACM Trans. Database Syst.,2003
Learning Response Time for WebSources Using Query Feedback and Application in Query Optimization,"Jean-Robert Gruser, Vladimir Zadorozhny, Louiqa Raschid, Tao Zhan",VLDB J.,2000
Virtual Database technology,"Venky Harinarayan, Ashish Gupta, Anand Rajaraman",SIGMOD Record,1997
Time management for new faculty,"Anastassia Ailamaki, Johannes Gehrke",SIGMOD Record,2003
Much Ado About Shared-Nothing,"Michael G. Norman, Peter Thanisch, Thomas Zurek",SIGMOD Record,1996
